
MODEL: Binary Fracture Detection
epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,0.1415,0.1079,94.28,95.66,-0.0336,0.0001
2,0.0208,0.0663,99.32,97.47,0.0455,0.0001
3,0.0218,0.103,99.16,95.54,0.0812,0.0001
4,0.0208,0.0233,99.22,99.16,0.0025,0.0001
5,0.0087,0.0253,99.71,99.4,0.0166,0.0001
6,0.0128,0.0517,99.57,97.95,0.0389,0.0001
7,0.0058,0.0712,99.81,97.47,0.0654,0.0001
8,0.0179,0.0747,99.39,96.26,0.0568,0.0001
9,0.0096,0.028,99.66,98.67,0.0185,0.0001
10,0.0019,0.0118,99.92,99.52,0.0099,0.0001
11,0.0027,0.0209,99.88,99.4,0.0182,0.0001
12,0.0167,0.093,99.46,96.86,0.0763,0.0001
13,0.0143,0.0244,99.56,99.52,0.0101,0.0001
14,0.0035,0.0175,99.95,99.64,0.014,0.0001
15,0.0038,0.1109,99.87,97.47,0.1071,0.0001

GENERALIZATION METRICS
Max Overfitting Gap,0.1071
Best Val Accuracy,99.64% (epoch 14)
Test Accuracy,97.66%
Train/Test Accuracy Delta,2.21
Cross-validation Mean,97.66%
Cross-validation Std,0.00%

MODEL: Fracture Type Classification
epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,2.3724,2.0033,21.94,31.66,-0.3691,0.0001
2,1.802,1.5474,39.66,49.67,-0.2546,0.0001
3,1.3716,1.0528,54.53,66.74,-0.3189,0.0001
4,0.9742,0.852,67.75,72.98,-0.1222,0.0001
5,0.7386,0.7154,74.95,78.07,-0.0232,0.0001
6,0.577,0.6848,80.24,79.45,0.1078,0.0001
7,0.5385,0.5892,82.29,82.35,0.0507,0.0001
8,0.468,0.5625,83.67,83.66,0.0946,0.0001
9,0.4248,0.5055,84.53,84.89,0.0807,0.0001
10,0.3787,0.4814,86.38,84.75,0.1027,0.0001
11,0.3538,0.4951,86.19,84.46,0.1413,0.0001
12,0.3417,0.5002,86.65,84.6,0.1584,0.0001
13,0.2999,0.4595,86.85,86.56,0.1597,0.0001
14,0.2906,0.4998,87.77,86.42,0.2092,0.0001
15,0.315,0.4536,87.05,85.62,0.1386,0.0001

GENERALIZATION METRICS
Max Overfitting Gap,0.2092
Best Val Accuracy,86.56% (epoch 13)
Test Accuracy,84.49%
Train/Test Accuracy Delta,2.56
Cross-validation Mean,84.49%
Cross-validation Std,0.00%
